185;ADALAT OROS;30 mg;Tableta de Liberación Prolongada;TABLETA;Caja Envase Blister Tabletas;16;30/12/2019 12:00:00 a.m.;E12458;BAYER;ACT
186;ADALAT OROS;60 mg;Tableta de Liberación Prolongada;TABLETA;Caja Envase Blister Tabletas;8;15/02/2020 12:00:00 a.m.;E12635;BAYER;ACT
187;ADALAT OROS;60 mg;Tableta de Liberación Prolongada;TABLETA;Caja Envase Blister Tabletas;16;15/02/2020 12:00:00 a.m.;E12635;BAYER;ACT
190;ADAX;400 mg;Tableta Recubierta;TABLETA;Caja Envase Blister Tabletas;60;16/01/2018 12:00:00 a.m.;N20491;FARMINDUSTRIA;ACT
191;ADAX;600 mg;Tableta Recubierta;TABLETA;Caja Envase Blister Tabletas;60;20/12/2017 12:00:00 a.m.;N20437;FARMINDUSTRIA;ACT
192;ADAX FLU;200 mg + 30 mg;Tableta Recubierta;TABLETA;Caja Envase Blister Tabletas;60;23/08/2019 12:00:00 a.m.;N21367;FARMINDUSTRIA;ACT
193;ADAX FLU;100 mg + 15 mg/5 mL;Suspensión Oral;SUSPENSION;Frasco X 60 mL;1;17/03/2020 12:00:00 a.m.;N21643;FARMINDUSTRIA;ACT
194;ADAX FLU FORTE;400 mg + 60 mg;Tableta Recubierta;TABLETA;Caja Envase Blister Tabletas;60;12/04/2010 12:00:00 a.m.;N21696;FARMINDUSTRIA;ACT
195;ADAX FLU FORTE;200 mg + 30 mg/5 mL;Suspensión Oral;SUSPENSION;Frasco X 60 mL;1;28/02/2010 12:00:00 a.m.;N21601;FARMINDUSTRIA;ACT
198;ADAZOL;100 mg/5 mL;Suspensión Oral;SUSPENSION;Caja Frasco X 20 mL;5;07/07/2019 12:00:00 a.m.;E16588;ROEMMERS;ACT
201;ADECEROL;;Emulsión Oral;EMULSION;Vial X 10 mL;1;18/08/2011 12:00:00 a.m.;N222;MEDIFARMA;ACT
203;ADENEX;2 mg;Comprimido;TABLETA;Caja Envase Blíster Comprimidos;15;19/10/2019 12:00:00 a.m.;E12244;TECNOFARMA;ACT
204;ADENEX;5 mg;Comprimido;TABLETA;Caja Envase Blíster Comprimidos;15;19/10/2014 12:00:00 a.m.;E12245;TECNOFARMA;ACT
205;ADENEX;5 mg;Comprimido;TABLETA;Caja Envase Blíster Comprimidos;30;19/10/2014 12:00:00 a.m.;E12245;TECNOFARMA;ACT
214;ADONA (AC 17);30 mg;Tableta;TABLETA;Caja Envase Blister Tabletas;10;14/06/2017 12:00:00 a.m.;N11142;FARMINDUSTRIA;ACT
228;AERO OM SABOR ANIS;100 mg/mL;Suspensión Oral;SUSPENSION;Frasco X 15 mL;1;29/05/2021 12:00:00 a.m.;N22562;OM PHARMA;ACT
233;AERO OM SABOR MENTA;40 mg;Comprimido Masticable;TABLETA;Caja Envase Blíster Comprimidos;100;19/05/2021 12:00:00 a.m.;N22544;OM PHARMA;ACT
234;AERO OM SABOR MENTA;40 mg;Comprimido Masticable;TABLETA;Caja Envase Blíster Comprimidos;30;19/05/2021 12:00:00 a.m.;N22544;OM PHARMA;ACT
237;AERO OM SABOR ANIS;80 mg;Comprimido Masticable;TABLETA;Caja Envase Blíster Comprimidos;30;21/08/2021 12:00:00 a.m.;N22773;OM PHARMA;ACT
238;AERO OM SABOR ANIS;80 mg;Comprimido Masticable;TABLETA;Caja Envase Blíster Comprimidos;100;21/08/2021 12:00:00 a.m.;N22773;OM PHARMA;ACT
239;AERO OM FORTE SABOR ANIS;125 mg;Comprimido Masticable;TABLETA;Caja Envase Blíster Comprimidos;20;10/11/2021 12:00:00 a.m.;N23007;OM PHARMA;ACT
240;AERO OM FORTE SABOR ANIS;125 mg;Comprimido Masticable;TABLETA;Caja Envase Blíster Comprimidos;100;10/11/2021 12:00:00 a.m.;N23007;OM PHARMA;ACT
257;AFLAMAX;125 mg/5 mL;Polvo para Suspensión Oral;SUSPENSION;Caja Frasco x 60 mL;1;02/03/2014 12:00:00 a.m.;E16285;GRUNENTHAL;ACT
258;AFLAMAX;550 mg;Tableta Recubierta;TABLETA;Caja Envase Blister Tabletas;90;30/01/2019 12:00:00 a.m.;E21501;GRUNENTHAL;ACT
276;AGRIPPAL S1;;Suspensión Inyectable;INYECTABLE;Caja Jeringa prellenada X 0.5 mL;1;19/04/2019 12:00:00 a.m.;BE00219;NOVARTIS;ACT
332;AKA DILATE;2.50%;Solución Oftálmica;SOLUCION OFTALMICA;Caja Frasco x 15mL;1;20/08/2019 12:00:00 a.m.;N26055;MEDIFARMA;ACT
335;AK NEFRIN;0.12%;Solución Oftálmica;SOLUCION OFTALMICA;Frasco Gotero X 15 mL;1;01/09/2019 12:00:00 a.m.;N26127;MEDIFARMA;ACT
336;AK PRED;1%;Solución Nasal;AEROSOL;Frasco Gotero X 5 mL;1;11/09/2014 12:00:00 a.m.;N26204;MEDIFARMA;ACT
345;AKWA R;0.30%;Solución Oftálmica;SOLUCION OFTALMICA;Frasco Gotero X 15 mL;1;23/09/2014 12:00:00 a.m.;N26268;MEDIFARMA;ACT
346;AKWA TEARS;1.40%;Solución Oftálmica;SOLUCION OFTALMICA;Frasco Gotero X 15 mL;1;23/09/2014 12:00:00 a.m.;N26273;MEDIFARMA;ACT
353;ALBENDAZOL;100 mg/5 mL;Suspensión Oral;SUSPENSION;Frasco X 20 mL;2;02/01/2021 12:00:00 a.m.;NG1411;FARMINDUSTRIA;ACT
354;ALBENDAZOL;200 mg;Tableta Recubierta;TABLETA;Caja Envase Blister Tabletas;100;28/12/2020 12:00:00 a.m.;NG1407;FARMINDUSTRIA;ACT
357;ALBENDAZOL;100 mg/5 mL;Suspensión Oral;SUSPENSION;Frasco X 20 mL;2;21/09/2020 12:00:00 a.m.;NG2487;INDUQUIMICA;ACT
359;ALBENDAZOL;100 mg/5 mL;Suspensión Oral;SUSPENSION;Caja Frasco X 20 mL;1;10/12/2016 12:00:00 a.m.;NG3028;PORTUGAL;ACT
362;ALBOTHYL;1.80%;Gel;JALEA;Tubo X 50 g + Accesorios;1;09/01/2013 12:00:00 a.m.;E10558;TAKEDA;ACT
363;ALBOTHYL;90 mg;Ovulo;OVULO;Caja Envase Blister Ovulos;6;09/01/2013 12:00:00 a.m.;E10560;TAKEDA;ACT
364;ALBUMINA HUMANA;20%;Solución para Perfusión;INYECTABLE;Frasco X 50 mL;1;19/05/2011 12:00:00 a.m.;BE00342;BIOTOSCANA;ACT
367;ALCLIMAX;50 mg;Tableta Recubierta;TABLETA;Caja Envase Blister Tabletas;10;04/04/2021 12:00:00 a.m.;N22454;QUIMICA SUIZA;ACT
368;ALCLIMAX;100 mg;Tableta Recubierta;TABLETA;Caja Envase Blister Tabletas;10;04/04/2021 12:00:00 a.m.;N22455;QUIMICA SUIZA;ACT
379;ALE 70;70 mg;Tableta;TABLETA;Caja Envase Blister Tabletas;4;10/04/2021 12:00:00 a.m.;N22489;QUIMICA SUIZA;ACT
382;ALENDRON 70;70 mg;Tableta;TABLETA;Caja Envase Blister Tabletas + Accesorios;5;30/04/2019 12:00:00 a.m.;N25705;DELFARMA;ACT
390;ALERCET;10 mg/mL;Solución Oral;SOLUCION;Frasco X 15 mL;1;16/07/2021 12:00:00 a.m.;E14016;UNIMED;ACT
391;ALERCET;1 mg/mL;Jarabe;SOLUCION;Frasco X 60 mL;1;02/04/2021 12:00:00 a.m.;E9359;UNIMED;ACT
399;ALERFAST D;5 mg + 60 mg/5 mL;Solución;SOLUCION;Frasco X 60 mL;1;21/01/2013 12:00:00 a.m.;E15189;ROEMMERS;ACT
410;LEVOCERT;5 mg/mL;Solución Oral;SOLUCION;Caja Frasco Gotero x 15 mL;1;05/06/2021 12:00:00 a.m.;N22591;MEDIFARMA;ACT
417;ALERGIZINA D;120 mg + 5 mg;Cápsula;CAPSULA;Caja Envase Blister Cápsulas;120;11/09/2013 12:00:00 a.m.;E21024;INTIPHARMA;ACT
419;ALERMIZOL NUEVA FORMULA;10 mg;Comprimido Recubierto;TABLETA;Caja Envase Blíster Comprimidos;50;29/11/2019 12:00:00 a.m.;N19451;FARMINDUSTRIA;ACT
420;ALERMIZOL NUEVA FORMULA;5 mg/5 mL;Jarabe;SOLUCION;Frasco X 100 mL;1;29/11/2019 12:00:00 a.m.;N19450;FARMINDUSTRIA;ACT
422;ALERSONA;1%;Crema;CREMA;Tubo X 20 g;1;29/03/2017 12:00:00 a.m.;N23378;FARMINDUSTRIA;ACT
425;EDEMSOFT;2.5 mg;Tableta;TABLETA;Caja Envase Blister Tabletas;20;19/05/2014 12:00:00 a.m.;E21699;EMCURE;ACT
444;ALGIAS;60 mg/2 mL;Solución Inyectable;INYECTABLE;Frasco X 2 mL;25;09/12/2018 12:00:00 a.m.;E16055;TERBOL;ACT
495;ALOPURINOL;100 mg;Tableta;TABLETA;Caja Envase Blister Tabletas;30;26/07/2022 12:00:00 a.m.;NG3409;FARMINDUSTRIA;ACT
496;ALOPURINOL;300 mg;Tableta;TABLETA;Caja Envase Blister Tabletas;30;12/07/2022 12:00:00 a.m.;NG3397;FARMINDUSTRIA;ACT
497;ALOPURINOL;100 mg;Tableta;TABLETA;Caja Envase Blister Tabletas;30;20/10/2020 12:00:00 a.m.;NG1338;IQ FARMA;ACT
499;ALPAZ;0.5 mg;Tableta;TABLETA;Caja Envase Blister Tabletas;100;17/03/2022 12:00:00 a.m.;N14745;FARMINDUSTRIA;ACT
500;ALPAZ;0.25 mg;Tableta;TABLETA;Caja Envase Blister Tabletas;20;17/03/2017 12:00:00 a.m.;N14746;FARMINDUSTRIA;ACT
501;ALPAZ;1 mg;Tableta;TABLETA;Caja Envase Blister Tabletas;20;18/11/2017 12:00:00 a.m.;N14880;FARMINDUSTRIA;ACT
502;ALPAZ LP;0.5 mg;Tableta de Liberación Prolongada;TABLETA;Caja Envase Blister Tabletas;30;12/11/2017 12:00:00 a.m.;N24035;FARMINDUSTRIA;ACT
503;ALPAZ LP;1 mg;Tableta de Liberación Prolongada;TABLETA;Caja Envase Blister Tabletas;30;15/10/2017 12:00:00 a.m.;N23922;FARMINDUSTRIA;ACT
507;ALPHAGAN P;0.15%;Solución Oftálmica;SOLUCION OFTALMICA;Envase X 5 mL;1;04/06/2014 12:00:00 a.m.;E16497;QUIMICA SUIZA;ACT
511;ALPRAZOLAM;0.5 mg;Tableta;TABLETA;Caja Envase Blister Tabletas;200;08/01/2022 12:00:00 a.m.;NG3084;FARMINDUSTRIA;ACT
513;ALPRAZOLAM;0.5 mg;Tableta;TABLETA;Caja Envase Blister Tabletas;100;19/06/2020 12:00:00 a.m.;NG2417;INDUQUIMICA;ACT
514;ALPRAZOLAM;0.25 mg;Tableta;TABLETA;Caja Envase Blister Tabletas;100;08/03/2019 12:00:00 a.m.;NG1948;INDUQUIMICA;ACT
529;AMARYL M;2 mg + 1 g;Comprimido Recubierto;TABLETA;Caja Envase Blíster Comprimidos;16;20/12/2012 12:00:00 a.m.;E20099;SANOFI;ACT
532;AMAZINA;5 mg/5 mL;Solución Oral;SOLUCION;Frasco X 60 mL;1;19/01/2014 12:00:00 a.m.;E16153;ROEMMERS;ACT
535;AMBROMOX;;Cápsula;CAPSULA;Caja Envase Blister Cápsulas;60;27/04/2010 12:00:00 a.m.;N21733;FARMINDUSTRIA;ACT
539;AMBROXOL;15 mg/5 mL;Jarabe;SOLUCION;Frasco x 120 mL;1;07/01/2014 12:00:00 a.m.;EG6033;FARMINDUSTRIA;ACT
545;AMBROXOL;30 mg/5 mL;Jarabe;SOLUCION;Caja Frasco x 120 mL;1;29/12/2019 12:00:00 a.m.;NG4556;PORTUGAL;ACT
556;AMIKABIOT;1 g/4 mL;Solución Inyectable;INYECTABLE;Caja Ampolla X 4 mL + Accesorios;1;15/04/2014 12:00:00 a.m.;N21156;MEDIFARMA;ACT
559;AMIKACINA SULFATO;1 g/4 mL;Solución Inyectable;INYECTABLE;Ampolla x 4 mL;1;11/08/2019 12:00:00 a.m.;NG6164;DANY;ACT
560;AMIKACINA;100 mg/2 mL;Solución Inyectable;INYECTABLE;Ampolla X 2 mL;100;18/05/2017 12:00:00 a.m.;NG5340;DANY;ACT
561;AMIKACINA;500 mg/2 mL;Solución Inyectable;INYECTABLE;Ampolla X 2 mL;100;06/11/2018 12:00:00 a.m.;NG4089;DANY;ACT
562;AMIKACINA;500 mg/2 mL;Solución Inyectable;INYECTABLE;Ampolla X 2 mL;50;16/09/2014 12:00:00 a.m.;EG6252;PHARMAGEN;ACT
567;AMIKACINA;100 mg/2 mL;Solución Inyectable;INYECTABLE;Ampolla X 2 mL;10;14/01/2014 12:00:00 a.m.;EG6046;GENFAR;ACT
570;AMIKACINA;500 mg/2 mL;Solución Inyectable;INYECTABLE;Caja Ampolla x 2 mL;10;05/11/2018 12:00:00 a.m.;EG5947;LABOT;ACT
571;AMIKACINA;100 mg/2 mL;Solución Inyectable;INYECTABLE;Ampolla X 2 mL;50;11/04/2021 12:00:00 a.m.;NG2714;MEDIFARMA;ACT
572;AMIKACINA;500 mg/2 mL;Solución Inyectable;INYECTABLE;Ampolla X 2 mL;50;18/04/2021 12:00:00 a.m.;NG2719;MEDIFARMA;ACT
586;AMINOFILINA;250 mg/10 mL;Solución Inyectable;INYECTABLE;Caja Ampolla x 10 mL;1;16/12/2012 12:00:00 a.m.;EG2061;SANDERSON;ACT
593;AMIODARONA CLORHIDRATO;200 mg;Tableta;TABLETA;Caja Envase Blíster Comprimidos;100;20/05/2020 12:00:00 a.m.;NG4663;INDUQUIMICA;ACT
596;AMIODARONA;200 mg;Tableta;TABLETA;Caja Envase Blister Tabletas;60;03/06/2020 12:00:00 a.m.;NG4670;TEVA;ACT
606;AMITRIPTILINA;25 mg;Tableta Recubierta;TABLETA;Caja Envase Blister Tabletas;100;20/03/2021 12:00:00 a.m.;NG4887;FARMINDUSTRIA;ACT
608;AMIXEF POLVO;200 mg/5 mL;Polvo para Suspensión Oral;SUSPENSION;Frasco X 15 mL;1;30/09/2013 12:00:00 a.m.;N25053;TEVA;ACT
624;AMLODIPINO;10 mg;Tableta Recubierta;TABLETA;Caja Envase Blister Tabletas;30;05/12/2017 12:00:00 a.m.;NG3534;FARMINDUSTRIA;ACT
631;AMLODIPINO;10 mg;Tableta;TABLETA;Caja Envase Blister Tabletas;60;06/05/2022 12:00:00 a.m.;NG3328;TEVA;ACT
651;AMOVAL DUO;800 mg/5 mL;Polvo para Suspensión Oral;SUSPENSION;Frasco X 70 mL;1;15/05/2013 12:00:00 a.m.;E15511;FARMAVAL;ACT
654;AMOXICILINA;250 mg/5 mL;Polvo para Suspensión Oral;SUSPENSION;Caja Frasco X 60 mL;25;02/03/2019 12:00:00 a.m.;NG1935;TEVA;ACT
655;AMOXICILINA;250 mg/5 mL;Polvo para Suspensión Oral;SUSPENSION;Caja Frasco X 60 mL;1;02/03/2019 12:00:00 a.m.;NG1935;TEVA;ACT
662;AMOXICILINA + ACIDO CLAVULANICO;250 mg + 62.5 mg/5 mL;Polvo para Suspensión Oral;SUSPENSION;Frasco x 60 mL + Accesorio;1;01/09/2016 12:00:00 a.m.;NG5058;NATURGEN;ACT
664;AMOXICILINA + AMBROXOL CLORHIDRATO;250 mg + 15 mg/5 mL;Polvo para Suspensión Oral;SUSPENSION;Frasco X 60 mL;1;08/07/2013 12:00:00 a.m.;NG5766;NATURGEN;ACT
666;AMOXICILINA;500 mg;Comprimido Recubierto;TABLETA;Caja Envase Blister Tabletas;100;16/06/2016 12:00:00 a.m.;EG5034;FARMINDUSTRIA;ACT
674;AMOXICILINA;125 mg/5 mL;Polvo para Suspensión Oral;SUSPENSION;Frasco X 60 mL;1;04/10/2020 12:00:00 a.m.;NG1327;IQ FARMA;ACT
675;AMOXICILINA;250 mg/5 mL;Polvo para Suspensión Oral;SUSPENSION;Frasco X 60 mL;1;19/05/2020 12:00:00 a.m.;NG1251;IQ FARMA;ACT
680;AMOXICILINA;250 mg/5 mL;Polvo para Suspensión Oral;SUSPENSION;Frasco X 60 mL;12;17/10/2018 12:00:00 a.m.;NG1806;MEDIFARMA;ACT
686;AMOXICLIN;500 mg;Tableta;TABLETA;Caja Envase Blister Tabletas;100;18/06/2021 12:00:00 a.m.;N18486;SIEGFRIED;ACT
693;AMOXICLIN DUO;875 mg;Tableta Recubierta;TABLETA;Caja Envase Blister Tabletas;50;28/04/2020 12:00:00 a.m.;N21738;SIEGFRIED;ACT
694;AMOXICLIN DUO RESPIRATORIO;750 mg + 15 mg/5 mL;Polvo para Suspensión Oral;SUSPENSION;Frasco X 70 mL;1;12/08/2010 12:00:00 a.m.;N21901;SIEGFRIED;ACT
695;AMOXICLIN DUO RESPIRATORIO;875 mg + 60 mg;Tableta;TABLETA;Caja Envase Blister Tabletas;15;15/08/2010 12:00:00 a.m.;N21902;SIEGFRIED;ACT
696;AMOXICLIN DUO RESPIRATORIO;875 mg + 60 mg;Tableta;TABLETA;Caja Envase Blister Tabletas;50;15/08/2010 12:00:00 a.m.;N21902;SIEGFRIED;ACT
698;AMOXIDAL DUO;250 mg/5 mL;Polvo para Suspensión Oral;SUSPENSION;Frasco X 90 mL;1;10/11/2016 12:00:00 a.m.;E18921;ROEMMERS;ACT
700;AMOXIDAL DUO 750;750 mg/5 mL;Polvo para Suspensión Oral;SUSPENSION;Frasco X 70 mL;1;25/07/2020 12:00:00 a.m.;E13077;ROEMMERS;ACT
705;AMOXIDAL RESPIRATORIO DUO 750/15 mg;750 mg + 15 mg;Polvo para Suspensión Oral;SUSPENSION;Frasco X 70 mL;1;21/01/2012 12:00:00 a.m.;E14311;ROEMMERS;ACT
717;AMOXIPEN;500 mg;Cápsula;CAPSULA;Caja Envase Blister Cápsulas;100;09/10/2018 12:00:00 a.m.;N20876;LUSA;ACT
719;AMOXIPEN;250 mg/5 mL;Polvo para Suspensión Oral;SUSPENSION;Frasco X 60 mL;1;10/10/2013 12:00:00 a.m.;N20878;LUSA;ACT
721;AMOXIPEN CL;500 mg + 125 mg;Tableta Recubierta;TABLETA;Caja Envase Blister Tabletas;10;27/01/2019 12:00:00 a.m.;N21042;LUSA;ACT
722;AMPI BIS PLUS;1 g + 500 mg/mL;Polvo para Solución Inyectable;INYECTABLE;Vial;1;15/03/2017 12:00:00 a.m.;E19235;FARMINDUSTRIA;ACT
732;AMPICILINA;500 mg;Polvo para Solución Inyectable;INYECTABLE;Vial;20;18/04/2021 12:00:00 a.m.;EG4999;PHARMAGEN;ACT
733;AMPICILINA;1 g;Polvo para Solución Inyectable;INYECTABLE;Vial;10;09/02/2021 12:00:00 a.m.;EG4924;PHARMAGEN;ACT
734;AMPICILINA;500 mg;Polvo para Solución Inyectable;INYECTABLE;Vial;10;17/05/2019 12:00:00 a.m.;EG2539;VITALIS;ACT
735;AMPICILINA;1 g;Polvo para Solución Inyectable;INYECTABLE;Vial;10;17/05/2019 12:00:00 a.m.;EG2540;VITALIS;ACT
736;AMPICILINA + SULBACTAM;1 g + 0.5 g;Polvo para Solución Inyectable;INYECTABLE;Vial;20;05/04/2021 12:00:00 a.m.;EG4992;PHARMAGEN;ACT
739;AMPICILINA;1 g;Polvo para Solución Inyectable;INYECTABLE;Caja Vial;25;15/12/2021 12:00:00 a.m.;EG5223;DANY;ACT
743;AMPICILINA + SULBACTAM;1 g + 0.5 g;Polvo para Solución Inyectable;INYECTABLE;Vial;10;17/04/2020 12:00:00 a.m.;EG3021;VITALIS;ACT
751;ANAFIDOL;100 mg/5 mL;Suspensión Oral;SUSPENSION;Frasco X 60 mL;1;30/12/2019 12:00:00 a.m.;N19510;ROXFARMA;ACT
753;ANAFRANIL;25 mg;Grageas;TABLETA;Caja Grageas;30;23/10/2013 12:00:00 a.m.;E21154;NOVARTIS;ACT
754;ANALDEX;;Ungüento;UNGUENTO;Tubo X 28 g;1;06/10/2013 12:00:00 a.m.;N25076;SHERFARMA;ACT
761;ANASTROZOL;1 mg;Tableta Recubierta;TABLETA;Caja Envase Blister Tabletas;30;24/10/2018 12:00:00 a.m.;NG4060;INDUQUIMICA;ACT
766;ANAXICAM;15 mg;Tableta;TABLETA;Caja Envase Blister Tabletas;20;07/09/2012 12:00:00 a.m.;N23818;CAFERMA;ACT
767;ANAXICAM;15 mg;Tableta;TABLETA;Caja Envase Blister Tabletas;100;07/09/2012 12:00:00 a.m.;N23818;CAFERMA;ACT
784;ANEURIN 10 000;;Solución Inyectable;INYECTABLE;Ampolla X 3 mL + Accesorios;1;05/06/2013 12:00:00 a.m.;N20688;ALBIS;ACT
788;ANGAS;40 mg;Tableta Masticable;TABLETA;Caja Envase Blister Tabletas;100;06/04/2021 12:00:00 a.m.;N22465;QUIMICA SUIZA;ACT
800;ANTALGINA;250 mg/5 mL;Jarabe;SOLUCION;Frasco X 60 mL;1;01/08/2021 12:00:00 a.m.;N19978;TEVA;ACT
803;ANTALGINA;1 g/2 mL;Solución Inyectable;INYECTABLE;Ampolla X 2 mL;1;25/08/2021 12:00:00 a.m.;N574;TEVA;ACT
807;DON GRIPPA;;Tableta Recubierta;TABLETA;Caja Envase Blister Tabletas;100;16/03/2021 12:00:00 a.m.;N22388;VITA PHARMA;ACT
810;ANTIAX;480 mg + 100 mg;Comprimido;TABLETA;Caja Envase Blíster Comprimidos;24;23/01/2011 12:00:00 a.m.;E9121;FARMAVAL;ACT
812;ANTIAX;480 mg + 100 mg;Comprimido;TABLETA;Caja Envase Blíster Comprimidos;160;23/01/2011 12:00:00 a.m.;E9121;FARMAVAL;ACT
817;ANULACID;40 mg;Cápsula de Liberación Retardada;CAPSULA;Caja Envase Blister Cápsulas;14;13/07/2021 12:00:00 a.m.;N22690;FARMINDUSTRIA;ACT
818;ANULETTE;0.15 mg + 0.03 mg;Comprimido Recubierto;TABLETA;Caja Envase Blíster Comprimidos;1;25/02/2020 12:00:00 a.m.;E17150;GRUNENTHAL;ACT
819;ANULETTE;0.1 mg + 0.02 mg;Comprimido Recubierto;TABLETA;Caja Envase Blíster Comprimidos;21;22/07/2020 12:00:00 a.m.;E17518;GRUNENTHAL;ACT
820;ANULETTE CD;0.15 mg + 0.03 mg;Comprimido Recubierto;TABLETA;Caja Envase Blíster Comprimidos;20;02/12/2020 12:00:00 a.m.;E17889;GRUNENTHAL;ACT
821;ANZATAX;0.5 mg;Tableta;TABLETA;Caja Envase Blister Tabletas;20;30/11/2019 12:00:00 a.m.;N19452;EUROFARMA PERU;ACT
822;ANZATAX;2 mg;Tableta;TABLETA;Caja Envase Blister Tabletas;20;30/11/2019 12:00:00 a.m.;N19453;EUROFARMA PERU;ACT
825;VITANASAL;9 mg/mL;Solución para Nebulización;AEROSOL;Frasco X 10 mL;1;22/05/2021 12:00:00 a.m.;N18462;TEVA;ACT
829;APIRON;1 g/2 mL;Solución Inyectable;INYECTABLE;Caja Ampolla x 2 mL;5;04/08/2018 12:00:00 a.m.;E20883;UNIDAS DEL PERU;ACT
832;APRON F;;Tableta Recubierta;TABLETA;Caja Envase Blister Tabletas;100;18/05/2012 12:00:00 a.m.;N23511;INFARVAL;ACT
